TITLE,TITLE ABRV,Catalog,Rank,YEAR
INTERNATIONAL TELECOMMUNICATION NETWORKS AND APPLICATIONS CONFERENCE (WAS AUSTRALIAN TELECOMMUNICATION NETWORKS AND APPLICATIONS CONFERENCE),ITNAC,CORE2008,L,2008
AUSTRALIAN UNIX USERS GROUP NATIONAL CONFERENCE,AUUG,CORE2008,L,2008
"AUSTRALIAN WORKSHOP ON MOBILE COMPUTING, DATABASES AND APPLICATIONS",MCDA,CORE2008,L,2008
AUSTRALIAN WORKSHOP ON REQUIREMENTS ENGINEERING,AWRE,CORE2008,B,2008
AUSTRALIAN WORKSHOP ON SAFETY CRITICAL SYSTEMS AND SOFTWARE,SCSS,CORE2008,L,2008
AUSTRALIAN WORKSHOP ON SOFTWARE ARCHITECTURE,AWSA,CORE2008,L,2008
AUSTRALIAN WORLD WIDE WEB CONFERENCE,AusWeb,CORE2008,L,2008
AUTOMATED SOFTWARE ENGINEERING CONFERENCE,ASE,CORE2008,A,2008
INTERNATIONAL CONFERENCE ON COMPUTING EDUCATION RESEARCH (BALTIC SEA CONFERENCE ON COMPUTING EDUCATION RESEARCH PRIOR TO 2008),Koli Calling,CORE2008,B,2008
BLED ELECTRONIC COMMERCE CONFERENCE,BECC,CORE2008,C,2008
BRAZILIAN SYMPOSIUM ON DATABASES,SBBD,CORE2008,B,2008
BRITISH COMPUTER SOCIETY CONFERENCE ON HUMAN-COMPUTER INTERACTION,HCI,CORE2008,C,2008
BRITISH COMPUTER SOCIETY FORMAL ASPECTS OF COMPUTING SCIENCE SPECIALIST GROUP WORKSHOP,BCS-FMW,CORE2008,L,2008
BRITISH MACHINE VISION CONFERENCE,BMVC,CORE2008,A,2008
BRITISH NATIONAL CONFERENCE ON DATABASES,BNCOD,CORE2008,B,2008
CANADIAN ARTIFICIAL INTELLIGENCE CONFERENCE,CAAI,CORE2008,B,2008
CANADIAN CONFERENCE ON COMPUTATIONAL GEOMETRY,CCCG,CORE2008,B,2008
CANADIAN DISCRETE AND ALGORITHMIC MATHEMATICS CONFERENCE,CanaDAM,CORE2008,L,2008
COLLABORATIVE ELECTRONIC COMMERCE TECHNOLOGY AND RESEARCH,CollECTeR,CORE2008,C,2008
COMBINATORIAL PATTERN MATCHING,CPM,CORE2008,B,2008
COMPLEXITY AND INFORMATION-THEORETIC APPROACHES TO BIOLOGY,CITB,CORE2008,B,2008
COMPUTATIONAL TECHNIQUES AND APPLICATIONS CONFERENCE,CTAC,CORE2008,C,2008
COMPUTER AIDED VERIFICATION,CAV,CORE2008,A*,2008
COMPUTER GRAPHICS INTERNATIONAL,CGI,CORE2008,A,2008
COMPUTER SUPPORTED COLLABORATIVE LEARNING,CSCL,CORE2008,A*,2008
COMPUTING IN EDUCATION GROUP OF VICTORIA CONFERENCE,CEG,CORE2008,L,2008
COMPUTING: THE AUSTRALASIAN THEORY SYMPOSIUM,CATS,CORE2008,B,2008
CONFERENCE IN UNCERTAINTY IN ARTIFICIAL INTELLIGENCE,UAI,CORE2008,A*,2008
CONFERENCE OF THE ASSOCIATION OF ASIAN-PACIFIC OPERATIONAL RESEARCH SOCIETIES,APORS,CORE2008,C,2008
CONFERENCE OF THE COMMISSION INTERNATIONALE POUR L'ETUDE ET L'AMELIORATION DE L'ENSEIGNEMENT DES MATHEMATIQUES,CIEAEM,CORE2008,C,2008
CONFERENCE OF THE INTERNATIONAL SOCIETY FOR DECISION SUPPORT SYSTEMS,ISDSS,CORE2008,C,2008
CONFERENCE OF THE PACIFIC ASSOCIATION FOR COMPUTATIONAL LINGUISTICS,PACLING,CORE2008,B,2008
CONFERENCE ON ALGORITHMIC ASPECTS IN INFORMATION AND MANAGEMENT,AAIM,CORE2008,B,2008
"INTERNATIONAL CONFERENCE ON PROBABILISTIC, COMBINATORIAL, AND ASYMPTOTIC METHODS IN THE ANALYSIS OF ALGORITHMS (WAS CONFERENCE ON ANALYSIS OF ALGORITHMS)",AofA,CORE2008,B,2008
CONFERENCE ON ARTIFICIAL INTELLIGENCE FOR APPLICATIONS,CAIA,CORE2008,B,2008
CONFERENCE ON ARTIFICIAL NEURAL NETWORKS AND EXPERT SYSTEMS,ANNES,CORE2008,C,2008
CONFERENCE ON COMBINATORIAL OPTIMIZATION AND APPLICATIONS,COCOA,CORE2008,B,2008
CONFERENCE ON FUN WITH ALGORITHMS,FUN,CORE2008,B,2008
"CONFERENCE ON INFORMATION SCIENCE, TECHNOLOGY AND MANAGEMENT",CISTM,CORE2008,B,2008
CONFERENCE ON INNOVATIVE DATA SYSTEMS RESEARCH,CIDR,CORE2008,A,2008
CONFERENCE ON INTEGER PROGRAMMING AND COMBINATORIAL OPTIMIZATION,IPCO,CORE2008,A,2008
CONFERENCE ON COMPUTATIONAL NATURAL LANGUAGE LEARNING,CoNLL,CORE2008,A,2008
CONFERENCE ON OPERATIONAL RESEARCH PRACTICE IN AFRICA,ORPA,CORE2008,C,2008
CONFERENCE ON SOFTWARE IN TELECOMMUNICATIONS AND COMPUTER NETWORKS,SOFTCOM,CORE2008,B,2008
CONFERENCE ON THE QUALITY OF SOFTWARE ARCHITECTURES,QoSA,CORE2008,A,2008
CONGRESS OF THE ITALIAN ASSOC FOR AI,AI*IA,CORE2008,B,2008
CONSTRAINT DATABASES AND APPLICATIONS,CDB,CORE2008,C,2008
CONSTRAINT PROGRAMMING DAY,CPD,CORE2008,C,2008
CRYPTOGRAPHY POLICY AND ALGORITHMS CONFERENCE,CryPAC,CORE2008,C,2008
DATA COMPRESSION CONFERENCE,DCC,CORE2008,A*,2008
DATA SEMANTICS IN WEB INFORMATION SYSTEMS,DASWIS,CORE2008,C,2008
DATA WAREHOUSING AND KNOWLEDGE DISCOVERY,DaWaK,CORE2008,B,2008
DATABASE PROGRAMMING LANGUAGES,DBPL,CORE2008,C,2008
DESIGN AND MANAGEMENT OF DATA WAREHOUSES,DMDW,CORE2008,C,2008
DESIGN FOR USER EXPERIENCE,DUX,CORE2008,A,2008
"DESIGN, AUTOMATION AND TEST IN EUROPE CONFERENCE",DATE,CORE2008,A,2008
DESIGNING INTERACTIVE SYSTEMS,DIS,CORE2008,A,2008
DEVELOPMENTS IN LANGUAGE THEORY,DLT,CORE2008,B,2008
DIGITAL ARTS AND CULTURE,DAC,CORE2008,B,2008
DIGITAL GAMES RESEARCH CONFERENCE,DIGRA,CORE2008,A,2008
DISTRIBUTED COMMUNITIES ON THE WEB WORKSHOP,Dcw,CORE2008,C,2008
DOMAIN - SPECIFIC LANGUAGES FOR SOFTWARE ENGINEERING,DSLSE,CORE2008,C,2008
EMBEDDED SENSOR NETWORKS WORKSHOP,Emnets,CORE2008,B,2008
EMPIRICAL METHODS IN NATURAL LANGUAGE PROCESSING,EMNLP,CORE2008,A,2008
ERCIM ANNUAL WORKSHOP ON CONSTRAINT SOLVING AND CONSTRAINT LOGIC PROGRAMMING,ERCIM/CSCLP,CORE2008,B,2008
ERSHOV CONFERENCE,PSI,CORE2008,B,2008
ETHICOMP CONFERENCE,ETHICOMP,CORE2008,C,2008
EUROMICRO CONFERENCE ON REAL-TIME SYSTEMS,ECRTS,CORE2008,A,2008
"EUROMICRO INTERNATIONAL CONFERENCE ON PARALLEL, DISTRIBUTED AND NETWORK BASED PROCESSING",PDP,CORE2008,C,2008
EUROPEAN ASSOCIATION OF COMPUTATIONAL LINGUISTICS,EACL,CORE2008,A,2008
EUROPEAN CONFERENCE ON ARTIFICIAL INTELLIGENCE,ECAI,CORE2008,A,2008
EUROPEAN CONFERENCE ON ARTIFICIAL LIFE,ECAL,CORE2008,B,2008
EUROPEAN CONFERENCE ON COMPUTATIONAL BIOLOGY,ECCB,CORE2008,B,2008
EUROPEAN CONFERENCE ON COMPUTATIONAL LEARNING THEORY (NOW IN COLT),EuroCOLT,CORE2008,A,2008
EUROPEAN CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK,ECSCW,CORE2008,A,2008
EUROPEAN CONFERENCE ON COMPUTER VISION,ECCV,CORE2008,A,2008
EUROPEAN CONFERENCE ON DIGITAL GOVERNMENT (WAS EUROPEAN CONFERENCE ON E-GOVERNMENT ECEG),ECDG,CORE2008,B,2008
EUROPEAN CONFERENCE ON GENETIC PROGRAMMING,EUROGP,CORE2008,B,2008
EUROPEAN CONFERENCE ON INFORMATION MANAGEMENT AND EVALUATION,ECIME,CORE2008,B,2008
EUROPEAN CONFERENCE ON INFORMATION RETRIEVAL,ECIR,CORE2008,B,2008
EUROPEAN CONFERENCE ON INFORMATION SYSTEMS,ECIS,CORE2008,A,2008
EUROPEAN CONFERENCE ON KNOWLEDGE MANAGEMENT,EKM,CORE2008,C,2008
EUROPEAN CONFERENCE ON MACHINE LEARNING (JOINED WITH PKDD FROM 2008),ECML,CORE2008,A,2008
EUROPEAN CONFERENCE ON OBJECT-ORIENTED PROGRAMMING,ECOOP,CORE2008,A,2008
EUROPEAN CONFERENCE ON MACHINE LEARNING AND PRINCIPLES AND PRACTICE OF KNOWLEDGE DISCOVERY IN DATABASE (PKDD AND ECML COMBINED FROM 2008),ECML PKDD,CORE2008,A,2008
INTERSPEECH (COMBINED EUROSPEECH AND ICSLP IN 2000),Interspeech,CORE2008,A,2008
INTERNATIONAL CONFERENCE ON EMBEDDED WIRELESS SYSTEMS AND NETWORKS (WASEUROPEAN CONFERENCE ON WIRELESS SENSOR NETWORKS),EWSN,CORE2008,A,2008
EUROPEAN CONGRESS ON INTELLIGENT TECHNIQUES AND SOFT COMPUTING,EUFIT,CORE2008,C,2008
EUROPEAN GRAPHICS CONFERENCE,EUROGRAPH,CORE2008,A,2008
EUROPEAN INSTITUTE FOR COMPUTER ANTI-VIRUS RESEARCH EICAR CONFERENCE,EICAR,CORE2008,C,2008
EUROPEAN MPI USERS' GROUP CONFERENCE,EuroMPI,CORE2008,A,2008
EUROPEAN SIGNAL PROCESSING CONFERENCE,EUSIPCO,CORE2008,B,2008
INTERNATIONAL CONFERENCE ON MODELLING AND SIMULATION (WAS ESM EUROPEAN SIMULATION MULTICONFERENCE),ECMS,CORE2008,B,2008
EUROPEAN SIMULATION SYMPOSIUM,ESS,CORE2008,B,2008
EUROPEAN SPI,EuroSPI,CORE2008,A,2008
EUROPEAN SYMPOSIUM ON ALGORITHMS,ESA,CORE2008,A,2008
EUROPEAN SYMPOSIUM ON PROGRAMMING,ESOP,CORE2008,A,2008
EUROPEAN SYMPOSIUM ON RESEARCH IN COMPUTER SECURITY,ESORICS,CORE2008,A,2008
EUROPEAN WORKSHOP ON ADVANCED MOBILE ROBOTS,EuroBot,CORE2008,C,2008
"EUROPEAN, MEDITERRANEAN AND MIDDLE EASTERN CONFERENCE ON INFORMATION SYSTEMS",EMCIS,CORE2008,C,2008
EUROSYS CONFERENCE,EuroSys,CORE2008,A,2008
EXPLORING MODELLING METHODS IN SYSTEMS ANALYSIS AND DESIGN,EMMSAD,CORE2008,A,2008
EXTENDING DATABASE TECHNOLOGY,EDBT,CORE2008,A,2008
FAR EAST WORKSHOP ON FUTURE DB SYSTEMS,FEWFDB,CORE2008,B,2008
FIRA ROBOT WORLD CONGRESS,FIRA,CORE2008,C,2008
FLEXIBLE QUERY-ANSWERING SYSTEMS,FQAS,CORE2008,C,2008
FLORIDA ARTIFICIAL INTELLIGENCE RESEARCH SOCIETY CONFERENCE,FlAIRS,CORE2008,L,2008
INTERNATIONAL SYMPOSIUM ON FORMAL METHODS (WAS FORMAL METHODS EUROPE FME),FM,CORE2008,A,2008
FORMAL METHODS IN SOFTWARE ENGINEERING AND DEFENCE SYSTEMS WORKSHOP,FMSEDS,CORE2008,C,2008
FORMAL METHODS PACIFIC,FMP,CORE2008,C,2008
FORMAL POWER SERIES AND ALGEBRAIC COMBINATORICS,FPSAC,CORE2008,A,2008
FOUNDATIONS OF GENETIC ALGORITHMS,FOGA,CORE2008,A*,2008
